Symbol,Name
ACP,Assecopol
ALE,Allegro
ALR,Alior
CDR,CDProjekt
CPS,CyfrowyPolsat
DNP,DinoPL
JSW,JSW
KGH,KGHM
KRU,Kruk
KTY,Kety
LPP,LPP
MBK,MBank
OPL,OrangePL
PCO,Pepco
PEO,Pekao
PGE,PGE
PKN,PKNOrlen
PKO,PKOBP
PZU,PZU
SPL,SANPL
