symbol,rows
ACP,6240
ALE,642
ALR,2590
CDR,7143
CPS,3753
DNP,1510
JSW,2955
KGH,6462
KRU,2995
KTY,6814
LPP,5433
MBK,7452
OPL,6123
PCO,489
PEO,6223
PGE,3372
PKN,5867
PKO,4626
PZU,3246
SPL,7350
