symbol,rows
TRV,4557
TRMB,4557
TFC,8317
TYL,4557
TSN,4557
USB,8917
UDR,4557
ULTA,3887
UNP,10905
UAL,4328
UPS,5883
URI,4557
UNH,8320
UHS,4557
VLO,4557
VTR,4557
VRSN,6333
VRSK,3396
VZ,9920
VRTX,4555
VFC,9513
VTRS,611
VICI,1302
V,3788
VMC,8877
GWW,9651
WAB,4557
WBA,9513
WMT,12799
WBD,252
WM,4557
WAT,6887
WEC,9679
WFC,0
WELL,0
WST,0
WDC,0
WRK,0
WY,0
WHR,0
WMB,0
WTW,0
WYNN,0
XEL,0
XYL,0
YUM,0
ZBRA,0
ZBH,0
ZION,0
ZTS,0
